Headline,Link,Source,Published Date,Tokens,Lemmatized
wall street bet big on america then q1 happened inc com,https://news.google.com/rss/articles/CBMiugFBVV95cUxOaTlvNnVuTE1GTmtFdEd0VWlvdWxmQzRPTlhuNnpBZjdZTmRncnlfZS1kZkVyNTZrN0lHMkxMdGZGMVdYZDh4T2xIS0dsekNtTVBtMlk4RllSdzJBRW9BSkRHTkxqVFM4Wk12dnVtNUxQRUs1X1BTQ3lrT0gxSDVkMnlYZGFla2xEUkFET2JyVjlKWVhxNGQ0V0JadHRYX242aUowQ0xJMWVPV1NicmJMMjdEbFlTRmM0Q1E?oc=5,news.google.com,"Tue, 01 Apr 2025 14:15:28 GMT","['wall', 'street', 'bet', 'big', 'america', 'q1', 'happened', 'inc', 'com']","['wall', 'street', 'bet', 'big', 'america', 'q1', 'happened', 'inc', 'com']"
stock market today dow gains 400 points stocks reverse losses as markets cap worst quarter since 2022 yahoo finance,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPajJDaEhvWm9NVFM5SXN0eVViaS12UWo4UTRiZ3NwdnUwS1A3X05pSEkzVlpUbHFGREcwQnB4VFhZZm9JTDE1X19ydEJPaUNwY01uV3pPT0RLQUN5STNpWnlOanZVejFwR3czSS15YVRBZ2hPRlFYTEY0bS1ESzZMRlc5ZkVCVmRvZWlkNjJ0Z05LcVdMajNESERSd2hGYU5RZUJicUdDREhpR2NZZUJMc2xwMEJzZGpoYzZZSTR5ZHc4WVNnME1vVkNkdVJlNFh5OWdpMXZlZ2tmSVhkdmltM0VhdjVWR0k?oc=5,news.google.com,"Mon, 31 Mar 2025 22:18:05 GMT","['stock', 'market', 'today', 'dow', 'gains', '400', 'points', 'stocks', 'reverse', 'losses', 'markets', 'cap', 'worst', 'quarter', 'since', '2022', 'yahoo', 'finance']","['stock', 'market', 'today', 'dow', 'gain', '400', 'point', 'stock', 'reverse', 'loss', 'market', 'cap', 'worst', 'quarter', 'since', '2022', 'yahoo', 'finance']"
stock market news march 31 2025 dow bounces back after tariff concerns hit global markets wsj,https://news.google.com/rss/articles/CBMihgFBVV95cUxPMU1xTU93UHVtamdiaFdBSHl1T0tiamFvWTBJakFjYkhnaUhzMlhFdjNmMUJJV1NDX1RpWHd1ZFVjSEpUMnV1TkpDNVM5LUpoMXZUR2xHSXlTYkJudV9PQ29YRVE3X2Q2Y0RGZTNsOG9yZlF4MXNOdkcyeEV4WTAtSTA2S3JLZw?oc=5,news.google.com,"Tue, 01 Apr 2025 00:21:00 GMT","['stock', 'market', 'news', 'march', '31', '2025', 'dow', 'bounces', 'back', 'tariff', 'concerns', 'hit', 'global', 'markets', 'wsj']","['stock', 'market', 'news', 'march', '31', '2025', 'dow', 'bounce', 'back', 'tariff', 'concern', 'hit', 'global', 'market', 'wsj']"
us stocks edge lower in countdown to tariffs markets wrap bloomberg com,https://news.google.com/rss/articles/CBMilAFBVV95cUxPdHZtYnd0Vk1BSlZwQ180OWliQUtNOVRLWTY2RUxRLVUyN3B1c01MRjFiZW5uOVlyR0g0d1dhT3VnV0tGQmU0UzZyNXE1OUxTTFBWNUdjdmVURFF1V3YxUDRKeFZ2ajliS00zNlBOY1EyMGF3U2FtTV8xOGVYUldqRGEtTmYtOGVudkpxbVVBVkp3Znlh?oc=5,news.google.com,"Tue, 01 Apr 2025 14:23:14 GMT","['us', 'stocks', 'edge', 'lower', 'countdown', 'tariffs', 'markets', 'wrap', 'bloomberg', 'com']","['u', 'stock', 'edge', 'lower', 'countdown', 'tariff', 'market', 'wrap', 'bloomberg', 'com']"
5 things to know before the stock market opens tuesday cnbc,https://news.google.com/rss/articles/CBMioAFBVV95cUxNR1dvVWxreVF5VF9SckFMZk5aZXVLR1V3YUU0Yzd4UW1ORGpvWGphZjZmVXVfMjBsQkhCbjdWZVV2ZmowLVNFQ0FHblEzUm9TUUlIMjNaZ0xNU0MzRnNOclFUVjAxd3FMejVBUmhKU1NoZWl3SnBLbUxMTnJ0MjcxWXJET09mNjhkVEVZaW5XQWZnamdHWVJCd1RVcHhBN2Nf0gGmAUFVX3lxTE1DdVU4UjZJV2x0SjRka1ByRWQ2VnE1a2xlWkx4TkJJQXBEUEJWNURITkh4aTBmR3R0bEFLUUNmV1dScUVwZXItOUNZSmJxbGdFWVRsRS00U3VFeXZSTFQ1RGZZMVA1REZ1TWxMQjZZcjROUjNFUWh1ZkFSM0FLb3BqSTdjOTl3dnpQNWxhNGxFTTlOUVRJVzdVYkRUR1RhNGdzam9wT0E?oc=5,news.google.com,"Tue, 01 Apr 2025 11:48:45 GMT","['5', 'things', 'know', 'stock', 'market', 'opens', 'tuesday', 'cnbc']","['5', 'thing', 'know', 'stock', 'market', 'open', 'tuesday', 'cnbc']"
why this strategist says there s still one last hurrah for the stock market before it falters marketwatch,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPNEU3QTJxbWZFOWJUZXVGMjRqaFMtQmFjTm1iS3hxNUZvMGFmYlNMd2lNNm5LUmE4SlVGbnFvQ3NoamtoSnk0SVZiMmFrTEozV1piSXZ4RHluMGl5aXc4b295R1FpbHZSV1FBZ0FXU2VHQ1hEVnUyUEd1NmFTcjU5NFZJMlZHMFFpUnpud0lTY2Nrd1p1c0JRR0pOZVVyY1RuNVFibkNxNF95eFotYVRsakM3UVlOMUxweEVEVEFsOE5URXNSR1lDWFVzdXM0ZlZh?oc=5,news.google.com,"Tue, 01 Apr 2025 10:44:00 GMT","['strategist', 'says', 'still', 'one', 'last', 'hurrah', 'stock', 'market', 'falters', 'marketwatch']","['strategist', 'say', 'still', 'one', 'last', 'hurrah', 'stock', 'market', 'falter', 'marketwatch']"
wall street swings again as the approach of trump s liberation day wallops stock markets worldwide ap news,https://news.google.com/rss/articles/CBMikgFBVV95cUxQN1E1cVhkNG1aaUlwY0ItZmg4dk5wMmVoR1Y5dnY3ZUtoSVE2M3N1Vk5XaVNCVUZrUExiT0NjNXBGUDFwTFZYWm0zSW0zTU4tY1hLbnJiZ3pxQWt2RFdFVmQ5R2tUWUY3QTk4SnNfZ091ejQ4aFBRbkZNRmdYbTU2MTlnYmxwVTE5UjFKT25wN1ZGdw?oc=5,news.google.com,"Mon, 31 Mar 2025 22:25:00 GMT","['wall', 'street', 'swings', 'approach', 'trump', 'liberation', 'day', 'wallops', 'stock', 'markets', 'worldwide', 'ap', 'news']","['wall', 'street', 'swing', 'approach', 'trump', 'liberation', 'day', 'wallop', 'stock', 'market', 'worldwide', 'ap', 'news']"
liberation day is almost here what it means for the stock market barron s,https://news.google.com/rss/articles/CBMigwFBVV95cUxQaVVsM2dSWE1qd21TWGNSNHJaM0FTTXJJOE1VckhjeDJ5OEtNa19PVUpMTV9DbGtQTDBldk9hY0dFU2J3N0kzNXpVSWpNM1JvYWltUUtBYXlVV1Fjc3dDbjV3WHBHVWl5TV9hOUpJR3Q4Q1FWUmwwTEE1azNpQVRkSFpDbw?oc=5,news.google.com,"Tue, 01 Apr 2025 11:45:00 GMT","['liberation', 'day', 'almost', 'means', 'stock', 'market', 'barron']","['liberation', 'day', 'almost', 'mean', 'stock', 'market', 'barron']"
stock market today dow drops as s p 500 nasdaq rise in countdown to trump s tariff reveal yahoo,https://news.google.com/rss/articles/CBMixgFBVV95cUxQcjNBc0o1anF6cjJ4bUN5UG94N2VFaWRuTEtzbkpNckprLS12Ny1qRmNnN0V2aldrRDRJbkRwMlR5d2VCZ3FHdWtPR3MwTk1ZS0dkMkVvOEdCN0pKTHhTR3NkdXJUTnpER2pzNFZjUGZPRW42VWxKWmpnbnZIYWg2X3RHZkp5YnZfaUJaeFllWHA5REJSaUwwZkpHUjZyZFZMNjVteFJzZEs3eDJQQ2dqZnhEQzlTUDhDU2VZdWEwbWpWbWRVVnc?oc=5,news.google.com,"Tue, 01 Apr 2025 15:02:01 GMT","['stock', 'market', 'today', 'dow', 'drops', 'p', '500', 'nasdaq', 'rise', 'countdown', 'trump', 'tariff', 'reveal', 'yahoo']","['stock', 'market', 'today', 'dow', 'drop', 'p', '500', 'nasdaq', 'rise', 'countdown', 'trump', 'tariff', 'reveal', 'yahoo']"
markets news march 31 2025 stocks recover from early selloff to close mixed s p 500 nasdaq wrap up worst month since 2022 investopedia,https://news.google.com/rss/articles/CBMib0FVX3lxTFBETnBldmp3OGdaNGVKYU5IMkllV0NuVFZEQVRQNlpBWjFRTzNLZVpWZzdDNHdGOV9jSmxyRDJJRzhHa051ck5jWUxUamFSRDB3b2hMeHVFWDIwUGdNenVJRnRYR1FEOEdyeDZpMXRpZw?oc=5,news.google.com,"Mon, 31 Mar 2025 22:33:31 GMT","['markets', 'news', 'march', '31', '2025', 'stocks', 'recover', 'early', 'selloff', 'close', 'mixed', 'p', '500', 'nasdaq', 'wrap', 'worst', 'month', 'since', '2022', 'investopedia']","['market', 'news', 'march', '31', '2025', 'stock', 'recover', 'early', 'selloff', 'close', 'mixed', 'p', '500', 'nasdaq', 'wrap', 'worst', 'month', 'since', '2022', 'investopedia']"
