CIK,Account,Value,Alerts
320193,IntangibleAssetsGrossExcludingGoodwill,7640000000,high_value ($7.6B > $4.9B)
320193,InventoryNet,6911000000,high_value ($6.9B > $4.9B)
320193,LesseeOperatingLeaseLiabilityPaymentsDue,13518000000,high_value ($13.5B > $4.9B)
320193,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,5563000000,high_value ($5.6B > $4.9B)
320193,Liabilities,277327000000,high_value ($277.3B > $4.9B)
320193,LiabilitiesAndStockholdersEquity,344085000000,high_value ($344.1B > $4.9B)
320193,LiabilitiesCurrent,144365000000,high_value ($144.4B > $4.9B)
320193,LiabilitiesNoncurrent,132962000000,high_value ($133.0B > $4.9B)
320193,LongTermDebt,94800000000,high_value ($94.8B > $4.9B)
320193,LongTermDebtCurrent,10848000000,high_value ($10.8B > $4.9B)
320193,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,51180000000,high_value ($51.2B > $4.9B)
320193,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,10930000000,high_value ($10.9B > $4.9B)
320193,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,5153000000,high_value ($5.2B > $4.9B)
320193,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,7800000000,high_value ($7.8B > $4.9B)
320193,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,9936000000,high_value ($9.9B > $4.9B)
320193,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,12342000000,high_value ($12.3B > $4.9B)
320193,LongTermDebtNoncurrent,83956000000,high_value ($84.0B > $4.9B)
320193,MarketableSecuritiesCurrent,23476000000,high_value ($23.5B > $4.9B)
320193,MarketableSecuritiesNoncurrent,87593000000,high_value ($87.6B > $4.9B)
320193,NetCashProvidedByUsedInFinancingActivities,-39371000000,invalid_negative ($-39371.0M)
320193,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-12047000000,invalid_negative ($-12047.0M)
320193,NetCashProvidedByUsedInInvestingActivities,9792000000,high_value ($9.8B > $4.9B)
320193,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-19122000000,invalid_negative ($-19122.0M)
320193,NetCashProvidedByUsedInOperatingActivities,29935000000,high_value ($29.9B > $4.9B)
320193,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,27056000000,high_value ($27.1B > $4.9B)
320193,NetIncomeLoss,36330000000,high_value ($36.3B > $4.9B)
320193,NoncurrentAssets,45680000000,high_value ($45.7B > $4.9B)
320193,NonoperatingIncomeExpense,-248000000,invalid_negative ($-248.0M)
320193,NontradeReceivablesCurrent,29667000000,high_value ($29.7B > $4.9B)
320193,NotionalAmountOfForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,17001000000,high_value ($17.0B > $4.9B)
320193,OciBeforeReclassificationsBeforeTaxAttributableToParent,-1552000000,invalid_negative ($-1552.0M)
320193,OperatingExpenses,15443000000,high_value ($15.4B > $4.9B)
320193,OperatingIncomeLoss,42832000000,high_value ($42.8B > $4.9B)
320193,OperatingLeaseLiability,11534000000,high_value ($11.5B > $4.9B)
320193,OperatingLeaseLiabilityNoncurrent,10046000000,high_value ($10.0B > $4.9B)
320193,OperatingLeaseRightOfUseAsset,10234000000,high_value ($10.2B > $4.9B)
320193,OperatingLeasesFutureMinimumPaymentsDue,10838000000,high_value ($10.8B > $4.9B)
320193,OperatingLeasesFutureMinimumPaymentsDueThereafter,5373000000,high_value ($5.4B > $4.9B)
320193,OtherAccruedLiabilitiesCurrent,51703000000,high_value ($51.7B > $4.9B)
320193,OtherAccruedLiabilitiesNoncurrent,36634000000,high_value ($36.6B > $4.9B)
320193,OtherAssetsCurrent,13248000000,high_value ($13.2B > $4.9B)
320193,OtherAssetsNoncurrent,77183000000,high_value ($77.2B > $4.9B)
320193,OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,-67000000,invalid_negative ($-67.0M)
320193,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-6000000,invalid_negative ($-6.0M)
320193,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-1427000000,invalid_negative ($-1427.0M)
320193,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,-87000000,invalid_negative ($-87.0M)
320193,OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,-784000000,invalid_negative ($-784.0M)
320193,OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,-638000000,invalid_negative ($-638.0M)
320193,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-625000000,invalid_negative ($-625.0M)
320193,OtherComprehensiveIncomeLossNetOfTax,-389000000,invalid_negative ($-389.0M)
320193,OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,-114000000,invalid_negative ($-114.0M)
320193,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,-76000000,invalid_negative ($-76.0M)
320193,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,-220000000,invalid_negative ($-220.0M)
320193,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,-23000000,invalid_negative ($-23.0M)
320193,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,-104000000,invalid_negative ($-104.0M)
320193,OtherComprehensiveIncomeLossTax,-98000000,invalid_negative ($-98.0M)
320193,OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,-615000000,invalid_negative ($-615.0M)
320193,OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,-154000000,invalid_negative ($-154.0M)
320193,OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeTax,-250000000,invalid_negative ($-250.0M)
320193,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,-661000000,invalid_negative ($-661.0M)
320193,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-1647000000,invalid_negative ($-1647.0M)
320193,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,-1156000000,invalid_negative ($-1156.0M)
320193,OtherLiabilitiesCurrent,61151000000,high_value ($61.2B > $4.9B)
320193,OtherLiabilitiesNoncurrent,49006000000,high_value ($49.0B > $4.9B)
320193,OtherNonoperatingIncomeExpense,-382000000,invalid_negative ($-382.0M)
320193,OtherShortTermBorrowings,11166000000,high_value ($11.2B > $4.9B)
320193,PaymentsForRepurchaseOfCommonStock,23606000000,high_value ($23.6B > $4.9B)
320193,PaymentsToAcquireAvailableForSaleSecurities,71356000000,high_value ($71.4B > $4.9B)
320193,PaymentsToAcquireAvailableForSaleSecuritiesDebt,6124000000,high_value ($6.1B > $4.9B)
320193,PaymentsToAcquireProductiveAssets,9571000000,high_value ($9.6B > $4.9B)
320193,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,15967000000,high_value ($16.0B > $4.9B)
320193,ProceedsFromPaymentsForOtherFinancingActivities,-35000000,invalid_negative ($-35.0M)
320193,ProceedsFromRepaymentsOfCommercialPaper,-7944000000,invalid_negative ($-7944.0M)
320193,ProceedsFromRepaymentsOfShortTermDebt,6306000000,high_value ($6.3B > $4.9B)
320193,ProceedsFromSaleOfAvailableForSaleSecurities,47838000000,high_value ($47.8B > $4.9B)
320193,ProductWarrantyExpense,-157000000,invalid_negative ($-157.0M)
320193,PropertyPlantAndEquipmentGross,120615000000,high_value ($120.6B > $4.9B)
320193,PropertyPlantAndEquipmentNet,46069000000,high_value ($46.1B > $4.9B)
320193,ReclassificationFromAociCurrentPeriodBeforeTaxAttributableToParent,-548000000,invalid_negative ($-548.0M)
320193,RepaymentsOfOtherShortTermDebt,5200000000,high_value ($5.2B > $4.9B)
320193,ResearchAndDevelopmentExpense,8268000000,high_value ($8.3B > $4.9B)
320193,RestrictedInvestments,12700000000,high_value ($12.7B > $4.9B)
320193,RetainedEarningsAccumulatedDeficit,-11221000000,invalid_negative ($-11221.0M)
320193,RevenueFromContractWithCustomerExcludingAssessedTax,124300000000,high_value ($124.3B > $4.9B)
320193,Revenues,62900000000,high_value ($62.9B > $4.9B)
320193,SalesRevenueNet,53265000000,high_value ($53.3B > $4.9B)
320193,SecuritiesSoldUnderAgreementsToRepurchaseFairValueOfCollateral,5300000000,high_value ($5.3B > $4.9B)
320193,SegmentReportingInformationOperatingIncomeLoss,9299000000,high_value ($9.3B > $4.9B)
320193,SegmentReportingReconcilingItemsAssets,66006000000,high_value ($66.0B > $4.9B)
320193,SegmentReportingSegmentAssets,9177000000,high_value ($9.2B > $4.9B)
320193,SellingGeneralAndAdministrativeExpense,7175000000,high_value ($7.2B > $4.9B)
320193,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,5100000000,high_value ($5.1B > $4.9B)
320193,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueNonvested,9850000000,high_value ($9.8B > $4.9B)
320193,StockholdersEquity,66758000000,high_value ($66.8B > $4.9B)
320193,StockRepurchasedAndRetiredDuringPeriodValue,23300000000,high_value ($23.3B > $4.9B)
320193,StockRepurchaseProgramAuthorizedAmount,10000000000,high_value ($10.0B > $4.9B)
320193,StockRepurchaseProgramAuthorizedAmount1,315000000000,high_value ($315.0B > $4.9B)
320193,TreasuryStockValueAcquiredCostMethod,45000000000,high_value ($45.0B > $4.9B)
320193,UndistributedEarningsOfForeignSubsidiaries,128700000000,high_value ($128.7B > $4.9B)
320193,UnrecognizedTaxBenefits,22038000000,high_value ($22.0B > $4.9B)
320193,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,10800000000,high_value ($10.8B > $4.9B)
320193,UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,11226000000,high_value ($11.2B > $4.9B)
320193,VariableLeaseCost,13800000000,high_value ($13.8B > $4.9B)
320193,DebtSecuritiesAvailableForSaleRestricted,14100000000,high_value ($14.1B > $4.9B)
320193,HedgedLiabilityFairValueHedge,13300000000,high_value ($13.3B > $4.9B)
320193,DeferredIncomeTaxAssetsNet,19499000000,high_value ($19.5B > $4.9B)
320193,OtherAssetsMiscellaneousNoncurrent,55335000000,high_value ($55.3B > $4.9B)
320193,EntityPublicFloat,2628553000000,high_value ($2628.6B > $4.9B)
789019,AccountsPayableCurrent,22608000000,high_value ($22.6B > $4.9B)
789019,AccountsReceivableNet,22300000000,high_value ($22.3B > $4.9B)
789019,AccountsReceivableNetCurrent,48188000000,high_value ($48.2B > $4.9B)
789019,AccountsReceivableNetNoncurrent,4900000000,high_value ($4.9B > $4.9B)
789019,AccruedIncomeTaxesCurrent,6056000000,high_value ($6.1B > $4.9B)
789019,AccruedIncomeTaxesNoncurrent,24389000000,high_value ($24.4B > $4.9B)
789019,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,82820000000,high_value ($82.8B > $4.9B)
789019,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-117000000,invalid_negative ($-117.0M)
789019,AccumulatedOtherComprehensiveIncomeLossNetOfTax,-5616000000,invalid_negative ($-5616.0M)
789019,AllocatedShareBasedCompensationExpense,10734000000,high_value ($10.7B > $4.9B)
789019,Assets,533898000000,high_value ($533.9B > $4.9B)
789019,AssetsCurrent,147080000000,high_value ($147.1B > $4.9B)
789019,AssetsFairValueDisclosureRecurring,129466000000,high_value ($129.5B > $4.9B)
789019,AvailableForSaleDebtSecuritiesAmortizedCostBasis,65613000000,high_value ($65.6B > $4.9B)
789019,AvailableForSaleSecurities,135630000000,high_value ($135.6B > $4.9B)
789019,AvailableForSaleSecuritiesAmortizedCost,136667000000,high_value ($136.7B > $4.9B)
789019,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,95989000000,high_value ($96.0B > $4.9B)
789019,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,91112000000,high_value ($91.1B > $4.9B)
789019,AvailableForSaleSecuritiesCurrent,121822000000,high_value ($121.8B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,18304000000,high_value ($18.3B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,18432000000,high_value ($18.4B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,79789000000,high_value ($79.8B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesFairValue,39007000000,high_value ($39.0B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis,22927000000,high_value ($22.9B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue,22788000000,high_value ($22.8B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis,7934000000,high_value ($7.9B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue,7325000000,high_value ($7.3B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis,33344000000,high_value ($33.3B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue,31774000000,high_value ($31.8B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,24231000000,high_value ($24.2B > $4.9B)
789019,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,24275000000,high_value ($24.3B > $4.9B)
789019,AvailableForSaleSecuritiesDebtSecurities,63181000000,high_value ($63.2B > $4.9B)
789019,BuildingsAndImprovementsGross,93943000000,high_value ($93.9B > $4.9B)
789019,BusinessAcquisitionsProFormaNetIncomeLoss,5010000000,high_value ($5.0B > $4.9B)
789019,BusinessAcquisitionsProFormaRevenue,24866000000,high_value ($24.9B > $4.9B)
789019,CashAndCashEquivalentsAtCarryingValue,17482000000,high_value ($17.5B > $4.9B)
789019,CashAndCashEquivalentsPeriodIncreaseDecrease,-590000000,invalid_negative ($-590.0M)
789019,CashCashEquivalentsAndShortTermInvestments,71555000000,high_value ($71.6B > $4.9B)
789019,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,17482000000,high_value ($17.5B > $4.9B)
789019,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-3358000000,invalid_negative ($-3358.0M)
789019,CommonStockIncludingAdditionalPaidInCapital,66826000000,high_value ($66.8B > $4.9B)
789019,CommonStocksIncludingAdditionalPaidInCapital,104829000000,high_value ($104.8B > $4.9B)
789019,ComprehensiveIncomeNetOfTax,22674000000,high_value ($22.7B > $4.9B)
789019,ContractWithCustomerLiability,48045000000,high_value ($48.0B > $4.9B)
789019,ContractWithCustomerLiabilityCurrent,45508000000,high_value ($45.5B > $4.9B)
789019,ContractWithCustomerLiabilityRevenueRecognized,20851000000,high_value ($20.9B > $4.9B)
789019,CostOfGoodsAndServicesSold,21799000000,high_value ($21.8B > $4.9B)
789019,CostOfRevenue,9269000000,high_value ($9.3B > $4.9B)
789019,CostsAndExpenses,51960000000,high_value ($52.0B > $4.9B)
789019,CurrentFederalTaxExpenseBenefit,12165000000,high_value ($12.2B > $4.9B)
789019,CurrentForeignTaxExpenseBenefit,9858000000,high_value ($9.9B > $4.9B)
789019,CurrentIncomeTaxExpenseBenefit,24389000000,high_value ($24.4B > $4.9B)
789019,DebtInstrumentCarryingAmount,51138000000,high_value ($51.1B > $4.9B)
789019,DebtInstrumentFaceAmount,72781000000,high_value ($72.8B > $4.9B)
789019,DebtInstrumentPrincipalOutstanding,5000000000,high_value ($5.0B > $4.9B)
789019,DebtLongtermAndShorttermCombinedAmount,31800000000,high_value ($31.8B > $4.9B)
789019,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger,47722000000,high_value ($47.7B > $4.9B)
789019,DebtSecuritiesAvailableForSaleUnrealizedLossPosition,50750000000,high_value ($50.8B > $4.9B)
789019,DeferredFederalIncomeTaxExpenseBenefit,-4791000000,invalid_negative ($-4791.0M)
789019,DeferredFederalStateAndLocalTaxExpenseBenefit,-2700000000,invalid_negative ($-2700.0M)
789019,DeferredIncomeTaxExpenseBenefit,-1158000000,invalid_negative ($-1158.0M)
789019,DeferredIncomeTaxesAndTaxCredits,-19000000,invalid_negative ($-19.0M)
789019,DeferredIncomeTaxLiabilities,12447000000,high_value ($12.4B > $4.9B)
789019,DeferredRevenue,23955000000,high_value ($24.0B > $4.9B)
789019,DeferredRevenueAdditions,37217000000,high_value ($37.2B > $4.9B)
789019,DeferredRevenueCurrent,21370000000,high_value ($21.4B > $4.9B)
789019,DeferredRevenueRevenueRecognized,-28813000000,invalid_negative ($-28813.0M)
789019,DeferredRevenueRevenueRecognized1,39918000000,high_value ($39.9B > $4.9B)
789019,DeferredStateAndLocalIncomeTaxExpenseBenefit,-379000000,invalid_negative ($-379.0M)
789019,DeferredTaxAssetsGross,33144000000,high_value ($33.1B > $4.9B)
789019,DeferredTaxAssetsLiabilitiesNet,19652000000,high_value ($19.7B > $4.9B)
789019,DeferredTaxAssetsLiabilitiesNetNoncurrent,-2835000000,invalid_negative ($-2835.0M)
789019,DeferredTaxAssetsNet,32099000000,high_value ($32.1B > $4.9B)
789019,DeferredTaxLiabilities,5486000000,high_value ($5.5B > $4.9B)
789019,DeferredTaxLiabilitiesLeasingArrangements,6503000000,high_value ($6.5B > $4.9B)
789019,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiability,19400000000,high_value ($19.4B > $4.9B)
789019,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,45000000000,high_value ($45.0B > $4.9B)
